1	1118	695	118
2	148	242	1359160
3	456	469	1178305
4	384	432	399
5	335	786	523
6	638	635	272
7	429	831	157
8	471	789	245
9	547	982	1186734
10	547	1550	2021099
11	895	783	952
12	716	746	257
13	1012	810	1189429
14	907	949	1048533
15	2155	1088	1127724
16	1076	1251	1072300
17	1082	1248	1058485
18	1723	1236	1045828
19	1810	1330	713
20	1632	1363	535
21	1653	1387	1053610
22	1644	1427	1053925
23	1692	1414	1051869
24	1726	1581	1048853
25	1738	1780	1049506
26	1840	1928	1062641
27	1971	2055	1079184
28	1961	2095	1009
29	2052	2170	1055067
30	2258	2363	1059171
31	2258	2367	1080272
32	3684	2330	1065687
33	3203	2529	1876835
34	2768	2669	1141379
35	2747	2971	1022318
36	2783	2702	813
37	3089	3980	517
38	2904	3291	1032962
39	3476	3046	999271
40	3527	3406	997493
41	3373	3458	1001970
42	3506	3569	996554
43	3512	3739	997013
44	3521	3696	1026519
45	3699	3721	1004889
46	3784	3920	937
47	3838	3872	601
48	3983	3871	1013239
49	4470	3944	1018906
50	4787	4022	1005300
51	4672	4147	1007938
52	4848	4086	1016422
53	4866	4098	1020574
54	4872	4231	1304926
55	5029	4473	1131792
56	5029	4621	1149789
57	5038	4866	1185
58	5065	4905	1513459
59	5189	4966	1375
60	5183	4926	1050089
61	5428	5014	999923
62	5431	5083	1085
63	5416	5147	1000924
64	5567	5274	1039813
65	5533	5519	1039297
66	5878	5540	1015255
67	7268	5636	2929889
68	5594	5812	1352949
69	5555	5827	1379593
70	5748	5921	1339
71	5815	5881	1125294
72	6498	5884	1030469
73	6317	6029	1001423
74	7202	6029	1000174
75	6153	8731	1001371
76	6749	6111	1001147
77	6848	6177	1005669
78	6839	6244	1004819
79	6939	6298	1034682
80	7057	6335	1025277
81	7096	6256	1007482
82	7713	6625	1018486
83	7305	6758	1020012
84	7299	7078	1043460
85	7365	7665	1198671
86	7492	7335	1429
87	7556	7338	1033
88	7544	7356	1158122
89	7592	7740	1009981
90	8085	7435	1005989
91	7665	7725	1000994
92	7960	7477	997959
93	7846	7879	1005448
94	35967	7785	1000679
95	8432	9411	998712
96	8127	39041	1057681
97	8124	8601	1171174
98	8598	12461	1266886
99	8242	11128	1096659
100	8269	10644	998415
101	8347	10415	996853
102	8698	10427	1012402
103	9066	9647	996826
104	8765	10421	1867
105	49190	10935	999319
106	9526	11784	1010900
107	9000	10732	997406
108	9073	9608	995417
109	39180	12588	998603
110	9393	12760	1004387
111	10161	12210	994952
112	9892	11666	1795
113	9904	10929	1432
114	10451	10844	995979
115	10061	11527	1003511
116	10258	11636	995320
117	10291	30624	1841
118	10414	11878	1288
119	10499	11473	1288
120	10514	12636	995173
121	10638	13068	1862
122	11137	13147	1001190
123	10786	13540	1859
124	10692	12829	996006
125	10759	12778	995750
126	10786	13047	1910
127	11083	13346	1330
128	11109	12965	1000688
129	11173	13074	995124
130	11784	13539	995580
131	12963	15117	1574075
132	11769	14304	1274389
133	11798	14987	1157203
134	12038	14930	1109406
135	12153	15063	2472
136	12110	14739	1430
137	12165	15658	1502
138	12727	15918	1472
139	12340	15504	1078767
140	12832	15782	1016745
141	12600	15924	1001408
142	12624	16211	997203
143	12651	16084	996427
144	306743	16211	1006569
145	13216	16398	999059
146	13506	16504	997291
147	13449	16226	2140
148	13207	16683	1009386
149	13796	17290	1004441
150	13537	17973	1033951
151	13694	17559	1003740
152	13787	17064	1009171
153	13999	17184	1007080
154	14488	17218	1004040
155	14192	17541	2255
156	14362	17036	1023034
157	14395	17912	1007787
158	14395	17620	1029505
159	14579	19040	1080348
160	14610	17728	1005678
161	14884	17946	1020242
162	16024	18115	1032466
163	15120	17831	998533
164	15178	18445	996683
165	15223	18284	999246
166	15305	18556	2370
167	15286	18290	1771
168	15377	18499	1000410
169	15428	18563	996164
170	16214	18701	998693
171	15894	18877	1000972
172	15912	18726	1007186
173	15990	19947	1017969
174	15930	19252	1008274
175	16740	19545	1011217
176	16305	19488	1013705
177	16444	17701	2524
178	16931	20521	1892
179	17487	19986	1014055
180	16804	20654	1006122
181	16791	20485	1101382
182	17227	19705	1231175
183	17124	20563	1178189
184	17187	21264	1083062
185	17372	21394	1066391
186	18505	21893	1034670
187	17477	21306	2578
188	17547	20715	1904
189	17647	21618	1014886
190	17653	21576	1099545
191	17816	22074	1026667
192	17734	22023	997823
193	17967	21954	1012964
194	68768	21044	2678
195	24441	22534	1015228
196	18124	21944	1117566
197	18121	20530	1056282
198	18638	22518	1049337
199	18360	22513	1056539
200	18323	21531	1086277
201	18789	23204	1045263
202	18505	22772	1009990
203	18792	21826	2738
204	18617	23223	1014297
205	18614	23377	1036429
206	31954	22011	1015968
207	19865	23758	1112181
208	18820	22920	1178234
209	36022	23035	1009519
210	19046	23325	1013732
211	19010	22815	1025428
212	18988	23458	997995
213	19231	22821	995859
214	19484	22960	2905
215	19215	23383	1022394
216	19321	24184	995082
217	20391	23555	995746
218	19318	23821	1004270
219	19515	23957	1000546
220	19605	23891	1008189
221	19662	23468	2895
222	19823	21379	2309
223	19871	21041	1013542
224	19962	23927	1006134
225	21068	24401	1009005
226	20113	24543	1017419
227	20098	24471	1042210
228	21322	24625	1156698
229	20778	24269	1047708
230	21358	24262	1003689
231	20484	24873	1027133
232	20820	27191	1004735
233	20657	24997	999657
234	33903	22573	1005372
235	20796	22156	995124
236	20763	25777	996442
237	20778	24797	995692
238	20862	25329	997273
239	21107	22434	1001728
240	21056	32172	1014273
241	21168	24909	1005895
242	29065	26336	1005049
243	21074	26683	1009667
244	23969	25196	3231
245	21261	24287	2533
246	21407	23383	1012532
247	21636	24045	1044728
248	21739	25825	4041
249	21763	33941	1189819
250	21835	24386	1061021
251	21863	23090	1007216
252	21941	22942	1368659
253	22005	23066	1087094
254	22020	22981	1026966
255	22815	22963	3400
256	22226	23326	2605
257	23002	23416	2593
258	22431	23383	2654
259	22643	23525	2602
260	22682	23549	1012278
261	22685	25045	3959
262	22742	23921	1051788
263	22917	24311	1144283
264	22945	23800	1054290
265	22960	24108	4020
266	23259	24217	1029036
267	23437	24160	3593
268	23205	24175	1023660
269	23250	24238	4996
270	23477	24284	2950
271	23612	24417	3588
272	24625	24407	2753
273	24411	25103	2671
274	24833	24882	2732
275	24299	25097	3077
276	24362	24897	1029490
277	24574	24954	3654
278	24601	25115	1018371
279	24631	25087	4156
280	24782	25910	3252
281	24976	25622	1017981
282	24915	25498	4095
283	25897	25350	3657
284	25353	25882	3276
285	25462	25586	3285
286	28058	25704	3484
287	25873	26045	1020568
288	46261	25940	3717
289	26387	26054	2935
290	27563	26076	1020876
291	26336	26227	4316
292	27502	26254	3678
293	195826	26181	3400
294	28119	26435	4186
295	28224	26499	3122
296	26593	26405	3035
297	26668	26635	1059377
298	26834	26608	1182850
299	99425	26901	5044
300	34175	27012	4721
301	30368	33305	1071761
302	30171	27245	1003305
303	28412	27064	3874
304	28128	27121	3149
305	28844	27708	1033935
306	32247	27408	4053
307	28270	27992	3131
308	28058	27937	3061
309	28082	27638	1008745
310	36161	27814	3947
311	29518	27750	3146
312	29264	27783	1005106
313	32906	28028	994907
314	30001	28049	996835
315	30706	27877	4041
316	45767	27986	3210
317	35904	28098	997980
318	32132	28158	4010
319	29022	28249	3276
320	30781	28315	3267
321	32042	28442	3315
322	29929	28687	3309
323	32408	28478	3306
324	30911	28630	3333
325	31041	28624	3315
326	32634	28895	3361
